user_id,role,resource_type,action,timestamp,session_duration,access_volume,success_flag,assigned_resource_count,actively_used_resource_count
USER_045,Cloud_Admin,gcp_console,read,2024-01-01 00:35:20,42.0,17.0,True,9,8
USER_055,Cloud_Admin,iam_console,write,2024-01-01 00:57:24,57.0,14.0,True,7,5
USER_064,Security_Admin,firewall_portal,write,2024-01-01 01:32:34,61.0,20.0,True,7,5
USER_024,HR_Admin,TIME_TRACKING,read,2024-01-01 01:54:39,31.0,7.0,True,5,4
USER_044,Cloud_Admin,gcp_console,Export,2024-01-01 02:38:32,75.0,16.0,True,9,7
USER_056,Cloud_Admin,storage_buckets,delete,2024-01-01 04:14:49,36.0,22.0,True,11,8
USER_048,Cloud_Admin,COST_EXPLORER,write,2024-01-01 05:08:39,62.0,14.0,True,10,2
USER_048,Cloud_Admin,cost_explorer,write,2024-01-01 05:08:39,62.0,14.0,True,10,2
USER_079,Security_Admin,threat_intelligence,Read,2024-01-01 06:07:04,20.0,9.0,True,9,5
USER_046,Cloud_Admin,vm_management,read,2024-01-01 06:46:10,58.0,14.0,True,5,4
USER_052,Cloud_Admin,cost_explorer,read,2024-01-01 06:50:11,73.0,10.0,True,12,7
USER_030,HR_Admin,employee_records,read,2024-01-01 08:00:32,28.0,9.0,True,11,7
USER_065,Security_Admin,firewall_portal,read,2024-01-01 08:36:11,60.0,23.0,True,11,2
USER_093,DevOps_Engineer,ansible_tower,write,2024-01-01 10:34:31,53.0,25.0,True,10,7
USER_097,DevOps_Engineer,jenkins_pipeline,read,2024-01-01 12:52:27,,23.0,True,6,4
USER_100, DevOps_Engineer ,grafana,write,2024-01-01 13:02:30,49.0,15.0,True,11,9
USER_032,HR_Admin,time_tracking,read,2024-01-01 13:18:31,24.0,5.0,True,6,4
USER_005,DB_Admin,ARCHIVE_DB,read,2024-01-01 14:27:09,65.0,9.0,True,10,3
USER_086,DevOps_Engineer,grafana,write,2024-01-01 14:34:02,40.0,35.0,True,12,6
USER_029,HR_Admin,BENEFITS_PORTAL,read,2024-01-01 14:37:08,50.0,6.0,True,8,6
USER_029,HR_Admin,benefits_portal,read,2024-01-01 14:37:08,50.0,6.0,True,8,6
USER_074,Security_Admin,ids_ips_console,read,2024-01-01 15:17:05,58.0,26.0,True,8,2
USER_052,Cloud_Admin,CLOUDWATCH,read,2024-01-01 15:58:15,43.0,17.0,False,12,7
USER_038,HR_Admin,payroll_system,write,2024-01-01 16:08:13,40.0,16.0,False,6,3
USER_033,HR_Admin,training_portal,write,2024-01-01 16:14:56,41.0,3.0,True,8,6
USER_073,Security_Admin,vulnerability_scanner,delete,2024-01-01 16:30:04,44.0,34.0,True,12,8
USER_059,Cloud_Admin,iam_console,write,2024-01-01 17:05:06,80.0,14.0,True,10,6
USER_084,DevOps_Engineer,jenkins_pipeline,read,2024-01-01 18:36:03,24.0,32.0,True,12,9
USER_067,Security_Admin,access_review,delete,2024-01-01 19:33:31,71.0,31.0,True,5,3
USER_087,DevOps_Engineer,kubernetes_cluster,write,2024-01-01 19:37:25,64.0,32.0,True,7,6
USER_083,DevOps_Engineer,ansible_tower,write,2024-01-01 19:39:27,30.0,29.0,True,9,7
USER_092,DevOps_Engineer,grafana,write,2024-01-01 20:36:35,23.0,25.0,True,12,6
USER_040,HR_Admin,time_tracking,read,2024-01-01 21:57:17,,13.0,True,7,4
USER_066,Security_Admin,compliance_portal,read,2024-01-01 22:29:44,64.0,6.0,True,6,3
USER_072,Security_Admin,audit_logs,read,2024-01-01 22:33:08,74.0,13.0,True,11,8
USER_055,Cloud_Admin,gcp_console,read,2024-01-01 23:33:57,30.0,17.0,True,7,5
USER_074,Security_Admin,firewall_portal,Write,2024-01-02 00:17:26,49.0,17.0,True,8,2
USER_098,DevOps_Engineer,kubernetes_cluster,export,2024-01-02 01:23:20,22.0,26.0,True,7,5
USER_062,Security_Admin,siem_console,write,2024-01-02 01:30:30,51.0,17.0,True,8,6
USER_043,Cloud_Admin,vm_management,read,2024-01-02 02:21:11,36.0,18.0,True,6,4
USER_097,DevOps_Engineer,JENKINS_PIPELINE,write,2024-01-02 03:12:08,36.0,23.0,False,6,4
USER_086,DevOps_Engineer,jenkins_pipeline,write,2024-01-02 03:36:53,5.0,29.0,True,12,6
USER_083,DevOps_Engineer,monitoring_dashboard,write,2024-01-02 07:49:05,47.0,28.0,True,9,7
USER_050,Cloud_Admin,gcp_console,Write,2024-01-02 08:28:51,47.0,15.0,True,5,4
USER_047,Cloud_Admin,gcp_console,delete,2024-01-02 08:31:02,53.0,16.0,True,7,2
USER_006,DB_Admin,archive_db,read,2024-01-02 09:53:12,58.0,15.0,True,11,8
USER_061,Security_Admin,incident_response,read,2024-01-02 11:37:34,59.0,22.0,True,9,8
USER_009,DB_Admin,backup_db,write,2024-01-02 11:42:32,56.0,8.0,True,12,11
USER_018,DB_Admin,data_warehouse,export,2024-01-02 11:47:23,56.0,1.0,True,11,6
USER_036,HR_Admin,recruitment_portal,write,2024-01-02 12:38:18,52.0,7.0,True,9,7
USER_002,DB_Admin,data_warehouse,read,2024-01-02 13:26:24,55.0,10.0,True,11,9
USER_037,HR_Admin,performance_system,read,2024-01-02 14:46:49,35.0,5.0,True,8,6
USER_073, Security_Admin ,firewall_portal,write,2024-01-02 14:56:52,40.0,24.0,True,12,8
USER_081,DevOps_Engineer,grafana,write,2024-01-02 17:12:58,29.0,32.0,True,9,5
USER_046,Cloud_Admin,aws_console,read,2024-01-02 20:46:07,49.0,23.0,True,5,4
USER_068,Security_Admin,incident_response,read,2024-01-02 23:28:26,,18.0,True,8,5
USER_062,Security_Admin,vulnerability_scanner,write,2024-01-03 01:35:10,72.0,19.0,True,8,6
USER_096,DevOps_Engineer,jenkins_pipeline,write,2024-01-03 02:13:55,37.0,28.0,True,5,3
USER_051,Cloud_Admin,azure_portal,write,2024-01-03 03:31:08,57.0,28.0,True,9,7
USER_067,Security_Admin,incident_response,read,2024-01-03 06:16:53,48.0,17.0,True,5,3
USER_082,DevOps_Engineer,ci_cd_console,read,2024-01-03 06:48:17,68.0,27.0,True,11,3
USER_029,HR_Admin,employee_records,write,2024-01-03 08:31:50,16.0,4.0,True,8,6
USER_055,Cloud_Admin,iam_console,write,2024-01-03 10:40:06,57.0,23.0,True,7,5
USER_018,DB_Admin,data_warehouse,export,2024-01-03 11:13:04,96.0,,True,11,6
USER_002,DB_Admin,archive_db,read,2024-01-03 11:57:27,64.0,14.0,True,11,9
USER_035,HR_Admin,performance_system,read,2024-01-03 12:04:19,21.0,6.0,True,12,10
USER_015,DB_Admin,data_lake,write,2024-01-03 13:01:22,66.0,16.0,True,7,2
USER_026,HR_Admin,employee_surveys,read,2024-01-03 13:50:58,50.0,12.0,False,10,3
USER_017,DB_Admin,data_lake,read,2024-01-03 13:53:46,51.0,18.0,True,11,7
USER_049,Cloud_Admin,load_balancer,read,2024-01-03 14:23:14,46.0,24.0,True,5,2
USER_010,DB_Admin,dev_database,delete,2024-01-03 14:53:13,42.0,22.0,True,9,7
USER_021,HR_Admin,time_tracking,read,2024-01-03 15:00:55,38.0,2.0,True,11,3
USER_076,Security_Admin,security_dashboard,read,2024-01-03 15:29:09,62.0,9.0,True,6,4
USER_041,Cloud_Admin,gcp_console,delete,2024-01-03 16:39:23,53.0,10.0,True,6,5
USER_019,DB_Admin,schema_registry,read,2024-01-03 17:33:48,57.0,22.0,True,12,8
USER_034,HR_Admin,time_tracking,write,2024-01-03 18:55:30,29.0,2.0,True,6,2
USER_064,Security_Admin,threat_intelligence,read,2024-01-03 19:47:46,,7.0,True,7,5
USER_057,Cloud_Admin,storage_buckets,read,2024-01-03 20:48:53,48.0,17.0,True,5,3
USER_042,Cloud_Admin,cdn_manager,read,2024-01-03 21:30:02,23.0,24.0,True,8,6
USER_071,Security_Admin,compliance_portal,write,2024-01-03 21:52:20,39.0,20.0,True,11,8
USER_094,DevOps_Engineer,grafana,read,2024-01-03 22:44:10,48.0,21.0,True,6,5
USER_069,Security_Admin,firewall_portal,read,2024-01-04 00:02:18,68.0,19.0,True,8,6
USER_065,Security_Admin,security_dashboard,read,2024-01-04 01:15:46,52.0,18.0,True,11,2
USER_099,DevOps_Engineer,ci_cd_console,Export,2024-01-04 02:27:11,51.0,27.0,True,5,4
USER_045,Cloud_Admin,LOAD_BALANCER,delete,2024-01-04 02:54:38,43.0,16.0,True,9,8
USER_076,Security_Admin,vulnerability_scanner,read,2024-01-04 05:34:39,69.0,24.0,True,6,4
USER_053,Cloud_Admin,azure_portal,write,2024-01-04 05:57:37,50.0,28.0,True,12,11
USER_012,DB_Admin,data_warehouse,read,2024-01-04 06:38:34,68.0,13.0,True,6,4
USER_091,DevOps_Engineer,monitoring_dashboard,read,2024-01-04 08:08:00,27.0,24.0,False,9,3
USER_013,DB_Admin,query_tool,read,2024-01-04 09:14:32,68.0,13.0,True,9,6
USER_037,HR_Admin,performance_system,read,2024-01-04 09:21:04,52.0,12.0,True,8,6
USER_002,DB_Admin,staging_db,read,2024-01-04 10:18:33,,17.0,True,11,9
USER_010, DB_Admin ,data_lake,read,2024-01-04 10:18:47,77.0,14.0,True,9,7
USER_027,HR_Admin,benefits_portal,Write,2024-01-04 10:42:32,35.0,13.0,True,9,6
USER_007,DB_Admin,etl_pipeline,write,2024-01-04 10:57:07,64.0,4.0,False,5,4
USER_022,HR_Admin,employee_records,write,2024-01-04 11:03:08,21.0,12.0,True,10,8
USER_017,DB_Admin,archive_db,write,2024-01-04 11:10:28,61.0,6.0,True,11,7
USER_008,DB_Admin,data_lake,Read,2024-01-04 11:12:30,53.0,11.0,True,12,9
USER_023,HR_Admin,performance_system,read,2024-01-04 11:54:06,34.0,7.0,True,10,8
USER_039,HR_Admin,RECRUITMENT_PORTAL,read,2024-01-04 13:35:10,23.0,12.0,True,8,4
USER_098,DevOps_Engineer,kubernetes_cluster,read,2024-01-04 14:35:42,33.0,25.0,True,7,5
USER_001,DB_Admin,etl_pipeline,write,2024-01-04 15:06:40,63.0,17.0,True,8,6
USER_094,DevOps_Engineer,terraform_console,write,2024-01-04 15:19:21,29.0,21.0,True,6,5
USER_057,Cloud_Admin,load_balancer,write,2024-01-04 15:47:43,65.0,28.0,True,5,3
USER_057,Cloud_Admin,load_balancer,write,2024-01-04 15:47:43,65.0,28.0,True,5,3
USER_020,DB_Admin,QUERY_TOOL,write,2024-01-04 16:31:01,69.0,15.0,True,9,2
USER_070,Security_Admin,dlp_system,write,2024-01-04 16:34:45,57.0,,True,5,3
USER_060,Cloud_Admin,load_balancer,write,2024-01-04 16:49:24,48.0,22.0,True,11,9
USER_003,DB_Admin,replication_service,read,2024-01-04 17:11:17,87.0,9.0,True,5,2
USER_014,DB_Admin,query_tool,read,2024-01-04 18:46:44,66.0,9.0,True,7,5
USER_053,Cloud_Admin,iam_console,write,2024-01-04 19:55:03,63.0,28.0,True,12,11
USER_072,Security_Admin,audit_logs,Write,2024-01-05 00:27:15,52.0,17.0,True,11,8
USER_090,DevOps_Engineer,jenkins_pipeline,delete,2024-01-05 02:11:03,35.0,20.0,True,7,5
USER_085,DevOps_Engineer,kubernetes_cluster,write,2024-01-05 03:18:13,40.0,,True,8,5
