user_id,role,resource_type,action,timestamp,session_duration,access_volume,success_flag
USER_064,Security_Admin,incident_response,write,2024-01-01 00:55:06,55.0,11.0,True
USER_001, DB_Admin ,query_tool,delete,2024-01-01 00:56:42,61.0,19.0,True
USER_080, Security_Admin ,vulnerability_scanner,write,2024-01-01 01:15:10,65.0,16.0,True
USER_015,DB_Admin,replication_service,read,2024-01-01 02:47:48,50.0,11.0,True
USER_011,DB_Admin,backup_db,write,2024-01-01 03:06:54,80.0,14.0,True
USER_001,DB_Admin,query_tool,write,2024-01-01 03:20:38,62.0,15.0,True
USER_068,Security_Admin,incident_response,write,2024-01-01 04:27:30,81.0,50.0,True
USER_066,Security_Admin,vulnerability_scanner,write,2024-01-01 09:18:59,67.0,10.0,True
USER_078,Security_Admin,threat_intelligence,write,2024-01-01 11:04:47,45.0,6.0,True
USER_004,DB_Admin,prod_database,read,2024-01-01 12:49:37,67.0,22.0,True
USER_018,DB_Admin,data_warehouse,read,2024-01-01 13:46:31,48.0,16.0,True
USER_096,DevOps_Engineer,monitoring_dashboard,write,2024-01-01 14:31:10,50.0,13.0,True
USER_026,HR_Admin,PERFORMANCE_SYSTEM,write,2024-01-01 15:12:42,35.0,4.0,True
USER_041,Cloud_Admin,aws_console,write,2024-01-01 15:29:51,49.0,13.0,True
USER_031,HR_Admin,payroll_system,read,2024-01-01 17:50:04,30.0,1.0,True
USER_081,DevOps_Engineer,docker_registry,write,2024-01-01 18:25:25,39.0,3.0,True
USER_072, Security_Admin ,threat_intelligence,export,2024-01-01 19:20:08,49.0,5.0,True
USER_067,Security_Admin,siem_console,write,2024-01-01 19:47:43,47.0,9.0,True
USER_021,HR_Admin,payroll_system,read,2024-01-01 20:21:17,30.0,5.0,True
USER_044, Cloud_Admin ,aws_console,write,2024-01-01 21:16:30,61.0,6.0,True
USER_015,DB_Admin,analytics_db,read,2024-01-01 21:16:43,61.0,18.0,True
USER_092,DevOps_Engineer,DOCKER_REGISTRY,write,2024-01-01 23:17:06,42.0,13.0,True
USER_077,Security_Admin,siem_console,read,2024-01-02 00:28:57,71.0,16.0,True
USER_010,DB_Admin,REPLICATION_SERVICE,write,2024-01-02 01:47:10,77.0,36.0,True
USER_078,Security_Admin,incident_response,Write,2024-01-02 02:13:29,52.0,5.0,True
USER_026,HR_Admin,employee_records,read,2024-01-02 03:00:51,49.0,10.0,True
USER_094,DevOps_Engineer,jenkins_pipeline,write,2024-01-02 03:23:13,23.0,6.0,True
